ra,dec,total,teff
11.0,5.0,1.0,5319.6665
11,6,1,0
11,7,0,0
11,8,0,0
11.0,9.0,1.0,4065.2566
11,10,1,0
11,11,2,0
11,12,0,0
11,13,0,0
11,14,1,0
11.0,15.0,2.0,4590.81
11,16,0,0
11.0,17.0,4.0,4872.3335
11.0,18.0,1.0,4278.55
11.0,19.0,5.0,3409.8132
11,20,1,0
11.0,21.0,3.0,5540.2227
11,22,0,0
11,23,3,0
11,24,0,0
11,25,1,0
11.0,26.0,2.0,3829.0176
11,27,1,0
11,28,2,0
11.0,29.0,3.0,4885.0
11,30,3,0
11.0,31.0,1.0,5813.0
11.0,32.0,2.0,4697.75
11,33,0,0
11.0,34.0,4.0,3589.75
11.0,35.0,3.0,3689.0
11,36,1,0
11,37,1,0
11.0,38.0,2.0,3725.6667
11.0,39.0,6.0,9654.0
11.0,40.0,4.0,4101.2
11.0,41.0,6.0,3574.0125
11,42,0,0
11.0,43.0,5.0,4094.4133
11,44,1,0
11,45,2,0
11.0,46.0,5.0,5747.75
11.0,47.0,5.0,5428.597
11.0,48.0,2.0,6063.9
11.0,49.0,3.0,3868.85
11.0,50.0,4.0,5645.6665
11,51,4,0
11.0,52.0,7.0,6348.0
11.0,53.0,7.0,4264.3335
11.0,54.0,3.0,4540.38
11,55,8,0
11.0,56.0,5.0,4044.75
11,57,5,0
11.0,58.0,6.0,6340.0
11,59,5,0
11.0,60.0,3.0,3600.0
11.0,61.0,8.0,4865.763
11.0,62.0,6.0,5377.0
11,63,4,0
11.0,64.0,8.0,4211.855
11.0,65.0,9.0,9552.333
