ra,dec,total,score,avg
16.0,56.0,9.0,306.0,34.0
16.0,57.0,2.0,2.0,1.0
16.0,58.0,5.0,203.0,40.6
16.0,59.0,6.0,204.0,34.0
16.0,60.0,5.0,203.0,40.6
16.0,61.0,3.0,201.0,67.0
16.0,62.0,4.0,202.0,50.5
16.0,63.0,3.0,3.0,1.0
16.0,64.0,9.0,306.0,34.0
16.0,65.0,11.0,407.0,37.0
16.0,66.0,7.0,106.0,15.142857142857142
16.0,67.0,9.0,9.0,1.0
16.0,68.0,5.0,5.0,1.0
16.0,69.0,11.0,506.0,46.0
16.0,70.0,11.0,407.0,37.0
16.0,71.0,11.0,209.0,19.0
16.0,72.0,6.0,6.0,1.0
16.0,73.0,8.0,107.0,13.375
16.0,74.0,8.0,404.0,50.5
16.0,75.0,10.0,307.0,30.7
16.0,76.0,9.0,108.0,12.0
16.0,77.0,5.0,203.0,40.6
16.0,78.0,7.0,304.0,43.42857142857143
16.0,79.0,2.0,2.0,1.0
16.0,80.0,6.0,303.0,50.5
16.0,81.0,5.0,203.0,40.6
16.0,82.0,2.0,2.0,1.0
16.0,83.0,4.0,4.0,1.0
16.0,84.0,2.0,101.0,50.5
16.0,85.0,4.0,4.0,1.0
16.0,86.0,10.0,406.0,40.6
16.0,87.0,4.0,202.0,50.5
16.0,88.0,3.0,3.0,1.0
16.0,89.0,6.0,303.0,50.5
16.0,90.0,6.0,204.0,34.0
16.0,91.0,2.0,101.0,50.5
16.0,92.0,2.0,200.0,100.0
16.0,93.0,1.0,1.0,1.0
16.0,94.0,2.0,2.0,1.0
16.0,95.0,2.0,200.0,100.0
16.0,96.0,2.0,101.0,50.5
16.0,97.0,2.0,101.0,50.5
16.0,98.0,2.0,2.0,1.0
16,99,0,0,0
17,0,0,0,0
17.0,1.0,2.0,101.0,50.5
17.0,2.0,3.0,102.0,34.0
17,3,0,0,0
17.0,4.0,1.0,1.0,1.0
17,5,0,0,0
17.0,6.0,1.0,100.0,100.0
17.0,7.0,1.0,1.0,1.0
17.0,8.0,1.0,100.0,100.0
17.0,9.0,5.0,5.0,1.0
17,10,0,0,0
17,11,0,0,0
17.0,12.0,1.0,100.0,100.0
17.0,13.0,1.0,1.0,1.0
17,14,0,0,0
17.0,15.0,2.0,2.0,1.0
17,16,0,0,0
17.0,17.0,1.0,1.0,1.0
17.0,18.0,4.0,202.0,50.5
17,19,0,0,0
17.0,20.0,3.0,102.0,34.0
17.0,21.0,1.0,1.0,1.0
17.0,22.0,2.0,2.0,1.0
17.0,23.0,1.0,1.0,1.0
17.0,24.0,2.0,2.0,1.0
17.0,25.0,1.0,100.0,100.0
17,26,0,0,0
17.0,27.0,1.0,1.0,1.0
17.0,28.0,3.0,3.0,1.0
17.0,29.0,5.0,302.0,60.4
17.0,30.0,4.0,4.0,1.0
17.0,31.0,1.0,1.0,1.0
17.0,32.0,3.0,201.0,67.0
17.0,33.0,3.0,102.0,34.0
17.0,34.0,1.0,1.0,1.0
17.0,35.0,1.0,100.0,100.0
17,36,0,0,0
17.0,37.0,5.0,203.0,40.6
17.0,38.0,2.0,101.0,50.5
17.0,39.0,3.0,102.0,34.0
17.0,40.0,4.0,301.0,75.25
17.0,41.0,4.0,202.0,50.5
17.0,42.0,6.0,204.0,34.0
17.0,43.0,5.0,302.0,60.4
17.0,44.0,3.0,201.0,67.0
17.0,45.0,4.0,103.0,25.75
17.0,46.0,1.0,1.0,1.0
17.0,47.0,3.0,300.0,100.0
17.0,48.0,3.0,102.0,34.0
17.0,49.0,6.0,204.0,34.0
17.0,50.0,4.0,202.0,50.5
17.0,51.0,3.0,102.0,34.0
17.0,52.0,4.0,202.0,50.5
17.0,53.0,8.0,404.0,50.5
17.0,54.0,7.0,304.0,43.42857142857143
17.0,55.0,5.0,401.0,80.2
17.0,56.0,3.0,3.0,1.0
17.0,57.0,7.0,106.0,15.142857142857142
17.0,58.0,6.0,402.0,67.0
17.0,59.0,1.0,100.0,100.0
