#
# Data file created by trmeshi_ssv.m on 28-Nov-2016
#
# Vertex list:  x y
 479  Number of vertices
         7.46150845e-01        -8.54888162e-01
         9.10188133e-01         5.88717034e-01
         7.50174094e-01        -5.27637092e-01
        -3.37642417e-01        -6.26815581e-01
         5.84353903e-01        -6.84235057e-01
         1.20234633e-01         5.81944058e-01
         6.77658792e-01         2.62700048e-01
        -4.57493428e-02         8.07367133e-01
        -8.54374550e-01         9.30681399e-01
        -7.47522839e-01         2.66691586e-01
         7.74031620e-01        -2.01962597e-01
         7.86912256e-01         7.81542756e-01
        -9.38439768e-01        -4.31629058e-02
         9.75236100e-01        -7.12559033e-01
        -7.36358614e-01        -3.63102085e-01
        -8.98555766e-01        -1.10384971e-01
        -7.24249675e-01        -2.34018698e-01
        -6.02448521e-01         8.49850329e-01
         8.73107407e-01         1.06066532e-01
         9.30067493e-01        -7.89780929e-01
         2.68000365e-01        -8.49994154e-01
         5.24133142e-01         7.06893788e-01
         3.75092186e-01         6.93268807e-01
         9.19912214e-01         7.98831675e-01
        -9.47571975e-01         2.87706242e-02
         6.76108164e-01         7.80478311e-01
        -9.55358421e-01         8.10951132e-01
         2.01746075e-02         7.48317030e-01
         3.67123181e-02         9.67294573e-01
         9.06662218e-01        -2.04856290e-02
        -4.89674122e-01        -7.78158862e-01
        -8.16370222e-02         9.80351238e-01
         2.69017348e-01         7.87535611e-01
        -8.22531038e-01         9.68251925e-01
         6.50686365e-01        -8.88620209e-01
         5.85338972e-01         4.55958649e-01
        -7.39532974e-01        -5.99662443e-04
         7.22974051e-01        -1.22858068e-01
         1.48065879e-01        -6.60737264e-01
        -8.13474654e-01         5.13863885e-01
        -8.58760536e-01         7.49480556e-01
        -4.60721879e-01         6.66713869e-01
        -9.23333277e-01        -4.68627489e-02
        -2.88782347e-01         7.08430626e-01
         8.73433995e-01         5.03019872e-01
        -7.86569965e-01         9.21317360e-01
         3.90513859e-01        -5.92299472e-01
        -8.46086433e-01         6.41682807e-01
         1.71046238e-01         8.66912522e-01
        -3.14751111e-01        -7.33148168e-01
         7.80172417e-01        -4.24255483e-01
         7.36479770e-01        -6.04963419e-01
         7.32403427e-01         1.70144799e-01
         3.29584449e-01         4.88982345e-01
         7.27567038e-01         5.70618687e-02
        -8.54633377e-01         8.04095390e-01
         6.57964309e-01        -7.39191341e-01
        -7.09514209e-01        -4.59545208e-01
        -4.46867417e-01        -5.92071967e-01
         8.06532589e-01        -5.80064538e-01
        -1.44145322e-01        -9.51757782e-01
        -8.43048063e-03         8.76242433e-01
         7.96903835e-01         8.69776383e-01
        -9.68972643e-02         8.64778777e-01
         7.71517086e-01        -3.06850852e-01
